ID,Gender of respondent,How old are you?,Have you ever been told by doctor that you,Employment status,Are you Hispanic or Latino,What is the highest grade or level of school you have completed,Which one of the following best describes,Which one,"Which one or more of the following would you say is your race - Black or African American,",Which one,Which one or more of the following would you say is your race - Native Hawaiian or Other Pacific Islander,Which one or more of the following would you say is your race - American Indian or Alaska Native,Which one or more of the following would you say is your race - Some other race? (SPECIFY),Which one,Which one,Which one of the following best describes
,,,had hypertension,,,,your Hispanic or Latino ancestry,or more,,or more,,,,or more,or more,your Asian ancestry or ethnic origin
,,,,,,,,of the following,,of the following,,,,of the following,of the following,
,,,,,,,,would you,,would you,,,,would you,would you,
,,,,,,,,say is your,,say is your,,,,say is your,say is your,
,,,,,,,,race - White,,race - Asian,,,,race - DON'T,race - REFUSED,
,,,,,,,,,,,,,,KNOW,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,Male,24,Yes,"Self-employed,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
2,Female,76,Yes,"Primarily retired, or",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
3,Male,47,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
4,Female,42,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
5,Female,24,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
6,Female,39,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
7,Male,31,Yes,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
8,Female,25,No,"Primarily a student,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
9,Female,33,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
10,Male,32,No,"Primarily a student,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
11,Female,24,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
12,Male,34,No,"Self-employed,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
13,Female,26,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
14,Male,31,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
15,Male,24,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
16,Male,26,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
17,Female,34,No,"Employed for wages,",No,"Doctoral Degree (Example: PHD, EDD)",.,Yes,No,No,No,No,No,No,No,.
18,Female,24,No,"Out of work for less than 1 year,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
19,Male,34,No,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
20,Male,31,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
21,Female,33,No,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
22,Male,42,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
23,Male,24,No,"Primarily a student,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,No,Yes,No,No,No,No,No,"Asian Indian,"
24,Male,32,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
25,Female,23,No,"Primarily a student,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
26,Male,35,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
27,Female,63,No,"Employed for wages,",Yes,High School Graduate,"Mexican or Mexican/American,",No,No,No,No,No,Yes,No,No,.
